project_id,project_name,state,district,project_type,land_area_hectares,affected_families,compensation_status,compensation_disbursed_pct,approval_stage,days_since_notification,legal_disputes_count,legal_dispute_status,possession_status,rehabilitation_progress_pct,stakeholder_responsiveness_score,historical_district_delay_rate,inter_department_coordination_issues,project_start_date,planned_duration_days,expected_completion_date,delay_probability,actual_delay_days,risk_category
LA-0001,Power Transmission Line Project Pune-1,Maharashtra,Pune,Power Transmission Line,53.44,119,Not Disbursed,1.6,SIA Completed,513,0,None,Partially Complete,97.0,8.5,0.6,Medium,2024-01-22,365,2025-01-21,0.2,214,Low
LA-0002,National Highway Project Howrah-2,West Bengal,Howrah,National Highway,27.57,58,Not Disbursed,2.9,SIA Completed,186,1,Ongoing - High Court,Partially Complete,51.4,6.3,0.24,Low,2022-02-12,1460,2026-02-11,0.596,314,Medium
LA-0003,Airport Expansion Project Bhubaneswar-3,Odisha,Bhubaneswar,Airport Expansion,27.02,257,Partially Disbursed,19.2,Notification (Sec 11),742,1,Ongoing - High Court,Partially Complete,18.5,9.7,0.27,Low,2021-11-15,545,2023-05-14,0.369,362,Medium
LA-0004,State Highway Project Ahmedabad-4,Gujarat,Ahmedabad,State Highway,20.02,27,Partially Disbursed,31.1,Award Declared,530,2,Ongoing - Supreme Court,Partially Complete,0.6,8.3,0.39,High,2023-07-30,1460,2027-07-29,0.98,571,High
LA-0005,State Highway Project Aurangabad-5,Maharashtra,Aurangabad,State Highway,22.76,103,Partially Disbursed,14.8,Rehabilitation Ongoing,925,1,Resolved Against,Fully Complete,12.0,7.4,0.32,Low,2022-01-29,365,2023-01-29,0.45,402,Medium
LA-0006,Irrigation Canal Project Meerut-6,Uttar Pradesh,Meerut,Irrigation Canal,39.13,369,Fully Disbursed,90.3,Notification (Sec 11),106,1,Ongoing - High Court,Fully Complete,41.0,7.8,0.61,Low,2023-07-18,730,2025-07-17,0.187,185,Low
LA-0007,Industrial Corridor Project Jabalpur-7,Madhya Pradesh,Jabalpur,Industrial Corridor,66.87,170,Not Disbursed,8.9,Award Declared,324,0,None,Partially Complete,42.7,8.4,0.55,Medium,2021-05-27,1460,2025-05-26,0.048,203,Low
LA-0008,Railway Line Project Indore-8,Madhya Pradesh,Indore,Railway Line,31.07,105,Partially Disbursed,48.9,Award Declared,505,0,None,Fully Complete,49.7,3.7,0.44,Medium,2024-02-15,545,2025-08-13,0.177,390,Low
LA-0009,Irrigation Canal Project Ahmedabad-9,Gujarat,Ahmedabad,Irrigation Canal,35.47,166,Fully Disbursed,96.7,Award Declared,213,0,None,Partially Complete,63.2,6.7,0.57,Low,2024-03-07,730,2026-03-07,0.02,136,Low
LA-0010,Urban Metro Project Kota-10,Rajasthan,Kota,Urban Metro,29.09,253,Fully Disbursed,90.2,Rehabilitation Ongoing,89,0,None,Partially Complete,69.1,4.5,0.46,Low,2022-05-21,1460,2026-05-20,0.032,133,Low
LA-0011,SEZ Development Project Mysuru-11,Karnataka,Mysuru,SEZ Development,63.42,42,Partially Disbursed,28.1,Possession Complete,103,4,Resolved in Favor,Partially Complete,8.4,2.5,0.63,High,2021-10-11,1460,2025-10-10,0.98,653,High
LA-0012,National Highway Project Chennai-12,Tamil Nadu,Chennai,National Highway,44.44,43,Fully Disbursed,92.4,SIA Completed,913,2,Ongoing - High Court,Fully Complete,9.4,4.3,0.33,Medium,2021-05-11,1095,2024-05-10,0.538,273,Medium
LA-0013,Airport Expansion Project Rourkela-13,Odisha,Rourkela,Airport Expansion,38.14,171,Partially Disbursed,47.7,Possession Complete,107,0,None,Fully Complete,2.4,6.8,0.44,Low,2021-08-23,1460,2025-08-22,0.185,229,Low
LA-0014,Industrial Corridor Project Muzaffarpur-14,Bihar,Muzaffarpur,Industrial Corridor,29.91,230,Not Disbursed,3.2,Possession Initiated,475,0,None,Not Started,61.5,9.9,0.51,Low,2022-06-24,1460,2026-06-23,0.237,189,Low
LA-0015,Power Transmission Line Project Bhopal-15,Madhya Pradesh,Bhopal,Power Transmission Line,49.42,200,Fully Disbursed,98.1,Possession Complete,522,1,Resolved Against,Not Started,79.8,6.8,0.49,Low,2021-11-27,1460,2025-11-26,0.315,355,Low
LA-0016,SEZ Development Project Bengaluru-16,Karnataka,Bengaluru,SEZ Development,32.76,228,Partially Disbursed,12.7,Notification (Sec 11),64,0,None,Not Started,3.7,8.4,0.5,Low,2022-09-22,545,2024-03-20,0.24,236,Low
LA-0017,SEZ Development Project Noida-17,Uttar Pradesh,Noida,SEZ Development,91.69,147,Fully Disbursed,95.3,Notification (Sec 11),1562,2,Resolved in Favor,Fully Complete,79.5,3.4,0.55,High,2023-12-27,545,2025-06-24,0.424,291,Medium
LA-0018,Dam/Reservoir Project Gwalior-18,Madhya Pradesh,Gwalior,Dam/Reservoir,53.69,244,Not Disbursed,1.6,Possession Complete,802,2,Resolved Against,Partially Complete,61.2,4.8,0.64,Low,2024-01-10,545,2025-07-08,0.878,345,High
LA-0019,Industrial Corridor Project Gaya-19,Bihar,Gaya,Industrial Corridor,34.46,435,Partially Disbursed,23.0,Possession Complete,1196,0,None,Partially Complete,37.5,6.6,0.24,Low,2021-05-12,730,2023-05-12,0.273,257,Low
LA-0020,Dam/Reservoir Project Kanpur-20,Uttar Pradesh,Kanpur,Dam/Reservoir,20.45,186,Not Disbursed,0.3,SIA Completed,55,1,Ongoing - Lower Court,Not Started,94.1,4.5,0.64,Medium,2022-04-14,365,2023-04-14,0.893,417,High
LA-0021,State Highway Project Lucknow-21,Uttar Pradesh,Lucknow,State Highway,35.12,88,Partially Disbursed,31.1,Award Declared,805,2,Resolved in Favor,Not Started,17.7,7.8,0.67,Low,2024-03-15,1460,2028-03-14,0.576,246,Medium
LA-0022,Airport Expansion Project Chennai-22,Tamil Nadu,Chennai,Airport Expansion,25.75,292,Fully Disbursed,97.5,SIA Completed,995,1,Ongoing - Lower Court,Not Started,1.1,9.1,0.45,Medium,2023-05-18,1095,2026-05-17,0.35,260,Medium
LA-0023,National Highway Project Madurai-23,Tamil Nadu,Madurai,National Highway,107.51,276,Partially Disbursed,60.4,Rehabilitation Ongoing,652,1,Ongoing - Lower Court,Not Started,55.0,5.0,0.54,Medium,2021-08-12,545,2023-02-08,0.648,418,Medium
LA-0024,Dam/Reservoir Project Jodhpur-24,Rajasthan,Jodhpur,Dam/Reservoir,57.0,328,Partially Disbursed,15.5,Possession Initiated,282,1,Ongoing - High Court,Not Started,37.1,8.3,0.48,Low,2021-06-04,1095,2024-06-03,0.556,435,Medium
LA-0025,National Highway Project Bengaluru-25,Karnataka,Bengaluru,National Highway,7.97,370,Partially Disbursed,10.9,Possession Complete,529,2,Ongoing - Lower Court,Fully Complete,28.6,8.8,0.33,High,2022-04-30,545,2023-10-27,0.771,401,High
LA-0026,Airport Expansion Project Cuttack-26,Odisha,Cuttack,Airport Expansion,42.44,68,Not Disbursed,6.3,Possession Initiated,936,0,None,Fully Complete,28.1,9.6,0.72,Low,2021-01-05,1095,2024-01-05,0.237,276,Low
LA-0027,Power Transmission Line Project Gaya-27,Bihar,Gaya,Power Transmission Line,13.92,231,Partially Disbursed,53.8,Rehabilitation Ongoing,536,2,Resolved Against,Partially Complete,91.1,8.4,0.73,Medium,2022-01-24,730,2024-01-24,0.545,446,Medium
LA-0028,SEZ Development Project Jaipur-28,Rajasthan,Jaipur,SEZ Development,76.4,90,Fully Disbursed,99.7,Notification (Sec 11),512,0,None,Partially Complete,27.3,1.5,0.49,Low,2024-04-11,1095,2027-04-11,0.205,257,Low
